it-codigo;Custo
9991000001;255,00
1000900011;4,86
9992300005;2,76
80.0001.00003;131,25
70.0049.00175;51,94
70.0049.00174;61,20
70.0049.00176;14,31
70.0049.00173;18,53
9992300009;54,22
15.0135.00017;7,82
15.0135.00018;8,55
15.0135.00010;7,88
9899900011;1296,46
70.0015.00408;12,00
70.0015.00411;12,00
70.0015.00413;12,00
70.0015.00410;12,00
70.0015.00412;12,00
70.0015.00409;12,00
70.0067.00115;3,70
70.0049.00205;27,56
70.0049.00267;48,02
70.0049.00270;48,02
70.0049.00274;37,16
70.0049.00275;42,40
70.0049.00276;40,89
15.0191.00008;35,48
15.0191.00025;3,10
1000400030;5,02
1000400039;9,39
1000400023;8,24
1000400002;3,89
1000400003;7,71
80.0413.00008;42,00
1000400031;4,16
70.0049.00462;49,90
70.0049.00461;49,13
70.0049.00375;20,50
70.0049.00378;41,46
70.0049.00373;39,01
70.0049.00374;39,17
70.0049.00366;36,43
2020200003;5,36
70.0191.00108;1116,84
1000400024;7,86
1000400025;7,73
1000100098;2,14
2020200002;19,34
15.0049.00011;2,49
2020200008;77,00
2020200006;19,25
1000300030;2,79
80.0049.00104;27,00
70.0131.00593;14,10
70.0131.00592;18,30
70.0191.00076;1500,00
1000300023;8,85
2020200010;4,78
2020200007;4,97
1000500001;7,89
2020200009;4,49
1000300021;2,23
70.0049.00149;3,84
0909100008;1,92
0909300003;7,71
0909300001;2,85
0909100004;2,39
0909100013;6,55
1000500002;3,17
0909100015;6,11
0909100012;2,66
0909100009;4,79
0909100003;4,79
1000900013;5,75
0909100014;4,89
0909100007;5,27
1000300001;7,20
1000400007;4,73
1000400016;5,81
1000400055;4,10
1000400017;5,90
0909100010;4,79
1000300046;7,19
1000400071;3,57
80.0067.00001;14,41
80.0067.00032;14,49
80.0169.00015;1,00
80.0169.00010;0,88
70.0131.00815;6,26
1000300003;7,60
1000100005;2,13
1212100001;1875,00
1000100003;6,20
1000100085;7,60
1000100319;2,17
1212100007;2,31
1212300001;2,22
1000400063;3,88
1000400068;8,24
1000400059;5,49
1000400075;5,52
1000400084;4,79
70.0797.00001;11612,06
70.0797.00002;11850,61
3030100022;1900,00
70.0191.00685;1453,13
70.0191.00733;1453,13
80.0191.00041;1505,53
80.0001.00153;125,00
1000400036;3,67
1000400022;3,51
1000400004;8,66
1000400008;4,94
1000400040;6,42
1000400041;4,80
1000400042;6,21
9000400004;3,88
1000400051;13,32
1000400054;6,07
1000400006;8,85
1000400060;13,80
1000400014;7,80
1000400069;5,82
1000400070;4,52
1000400043;3,99
1000400073;4,96
1000400005;2,54
1000400019;3,64
1000400009;4,49
1000400062;4,59
1000400082;3,52
1000400021;3,96
1000400049;7,97
1000400065;4,96
1000400056;5,03
1000400098;4,72
70.0131.00479;8,50
70.0131.00499;6,50
1000400047;5,30
70.0131.00500;6,50
1000900034;4,15
1001000094;15,04
80.0067.00015;10,80
80.0015.00011;0,45
1001000097;24,19
1001000053;6,90
1001000093;6,90
1000900035;4,45
80.0015.00039;79,06
80.0015.00005;187,58
80.0015.00007;77,43
1001000100;9,45
9999900008;6,64
15.0161.00001;0,46
15.0087.00009;62,80
70.0077.00402;18,00
1000900041;3,98
1000900042;4,53
1000900045;4,98
1000900044;4,98
1000100131;2,38
1000100080;2,27
0909100002;2,04
1000100152;2,38
1000100167;2,75
1000100173;2,38
1000100177;2,38
1000100180;2,38
15.0195.00061;5,50
15.0195.00130;4,10
1000100095;2,11
1000100155;2,48
1000100166;3,51
1000100218;2,48
1001000144;17,29
1000100147;2,17
1000100149;2,21
1000100150;2,34
1000100194;2,37
1000100139;2,27
1000100182;2,34
1000100140;2,32
1000100141;2,37
0909300002;4,79
15.0141.00001;3,50
15.0483.00001;18,48
15.0483.00012;11,12
1001000133;6,90
15.0141.00003;0,18
1000100238;2,18
1000100221;2,41
1000100148;2,22
1000100142;2,38
1000100253;0,22
0909100005;3,29
15.0141.00002;0,71
1000400193;3,52
1000900039;4,33
1001000186;8,93
1001000187;9,02
1001000201;4,04
1001000202;4,11
1001000203;6,00
1000100361;3,15
15.0521.00001;20,77
1001000199;12,19
1001000206;5,16
1000100289;0,07
1000100239;0,07
1000100251;0,07
1000100290;0,08
1001000185;9,35
1000900015;5,57
2020600245;48,06
1000100119;0,06
15.0141.00004;2,07
1000100137;2,30
1000100313;0,07
1000100267;2,73
1000100330;2,73
15.0453.00001;5,90
15.0453.00002;0,35
15.0453.00003;0,18
15.0453.00004;0,73
80.0497.00011;48,00
80.0497.00014;48,00
1000100408;11,15
1000100409;9,55
1000300057;6,74
70.0131.00762;3,71
70.0131.00792;4,01
70.0131.00793;7,21
70.0131.00794;10,08
1000100007;6,95
70.0131.00797;25,25
15.0131.00023;3,56
70.0131.00799;3,50
70.0131.00803;2,85
70.0131.00804;4,96
70.0131.00805;3,00
70.0131.00806;4,05
15.0131.00058;2,70
1000100154;3,24
70.0001.00766;1750,00
70.0001.00760;1750,00
70.0001.00761;1750,00
1000100226;3,22
1000100181;3,92
1000100326;3,77
1000100425;3,01
70.0131.00819;3,78
70.0131.00818;7,40
15.0131.00013;3,61
15.0131.00016;6,65
70.0131.00789;2,80
70.0131.00814;6,26
70.0131.00816;54,15
70.0131.00817;3,60
15.0131.00092;28,66
15.0131.00094;24,10
15.0131.00040;28,29
15.0131.00093;26,67
70.0131.00813;21,85
2020000044;85,88
70.0131.00764;3,78
1000100025;6,55
15.0141.00026;6,07
15.0131.00136;11,84
15.0131.00135;13,50
15.0131.00041;27,67
70.0131.00832;13,03
1000100133;3,95
70.0077.00143;32,56
70.0077.00128;33,59
70.0077.00127;23,76
70.0077.00330;21,38
70.0077.00315;31,05
70.0077.00313;28,35
70.0077.00314;17,41
15.0015.00001;877,30
15.0015.00015;1138,00
70.0067.00124;5,49
70.0077.00501;27,41
15.0049.00002;2,25
15.0049.00003;9,87
15.0049.00001;16,28
70.0131.00833;9,26
70.0131.00834;21,00
70.0131.00812;7,79
70.0077.00214;49,03
15.0131.00038;22,90
15.0131.00039;27,00
15.0131.00050;26,55
2020000066;58,15
2020000071;44,17
2020000023;100,60
2020000041;152,01
2020000043;91,55
15.0521.00011;10,00
2020000040;69,53
15.0573.00004;0,42
15.0645.00004;0,30
15.0645.00005;2,50
15.0645.00006;0,20
15.0645.00007;6,00
15.0645.00008;0,90
15.0645.00012;8,00
2020000003;454,07
15.0521.00015;15,12
15.0645.00011;2,50
2020000029;1278,17
2020000049;26,32
2020000001;61,53
2020000081;72,34
2020000080;195,22
2020000079;59,19
15.0127.00012;0,30
15.0191.00032;9,00
15.0191.00034;0,76
15.0001.00054;24,50
15.0001.00056;0,62
